FlightNumber,Date,Year,LaunchSite,Orbit,PayloadMass,Outcome,Class,GridFins,Reused,Legs,Block,Customer
19,2012-01-05,2012,CCAFS SLC 40,MEO,4289.0,True RTLS,1,False,False,False,2,NASA (CRS)
20,2012-04-01,2012,KSC LC 39A,GTO,12844.0,True RTLS,0,True,False,True,5,Commercial
21,2012-06-18,2012,KSC LC 39A,PO,4960.0,None None,1,True,True,True,4,US Govt
22,2012-11-12,2012,KSC LC 39A,LEO,9857.0,True ASDS,1,True,False,False,4,US Govt
23,2011-01-22,2011,KSC LC 39A,GTO,15624.0,None None,0,True,True,True,5,NASA (CRS)
24,2012-11-21,2012,CCAFS SLC 40,GTO,12256.0,None None,0,False,False,True,4,Commercial
25,2013-01-01,2013,CCAFS SLC 40,GTO,14044.0,True ASDS,1,True,False,True,5,Commercial
26,2013-05-13,2013,CCAFS SLC 40,PO,8343.0,True ASDS,0,False,False,True,4,Commercial
27,2012-08-20,2012,KSC LC 39A,GTO,14062.0,True ASDS,0,True,False,True,1,US Govt
28,2013-01-12,2013,KSC LC 39A,GTO,9113.0,True RTLS,1,False,False,True,4,Commercial
29,2014-12-12,2014,CCAFS SLC 40,LEO,657.0,True ASDS,0,True,False,False,4,Commercial
30,2013-02-15,2013,KSC LC 39A,GTO,8760.0,True ASDS,0,True,True,True,5,Commercial
31,2013-02-03,2013,CCAFS SLC 40,GTO,14703.0,True ASDS,1,True,True,True,2,Other
32,2013-03-19,2013,KSC LC 39A,VLEO,1031.0,True RTLS,1,False,False,True,2,Commercial
33,2013-08-06,2013,CCAFS SLC 40,LEO,7010.0,True RTLS,0,False,True,True,3,Commercial
34,2013-10-28,2013,CCAFS SLC 40,PO,5483.0,True ASDS,0,True,False,False,3,Commercial
35,2014-03-14,2014,CCAFS SLC 40,PO,7574.0,None None,0,False,True,True,5,Commercial
36,2013-10-09,2013,CCAFS SLC 40,ISS,9158.0,True ASDS,0,True,True,True,3,Other
37,2014-09-06,2014,CCAFS SLC 40,ISS,5976.0,True RTLS,0,False,True,True,4,Commercial
38,2014-02-16,2014,CCAFS SLC 40,VLEO,7343.0,True RTLS,0,True,True,True,4,US Govt
39,2014-05-01,2014,CCAFS SLC 40,ISS,7644.0,None None,0,False,False,True,4,US Govt
40,2014-08-02,2014,VAFB SLC 4E,PO,3965.0,None None,0,False,True,True,5,Commercial
41,2014-08-27,2014,CCAFS SLC 40,ES-L1,2639.0,True ASDS,0,False,True,True,4,Commercial
42,2014-02-25,2014,CCAFS SLC 40,ISS,2289.0,True RTLS,0,True,True,False,5,Other
43,2013-12-16,2013,VAFB SLC 4E,GTO,9780.0,True ASDS,0,True,True,True,4,Commercial
44,2014-04-17,2014,CCAFS SLC 40,ISS,2965.0,True ASDS,0,False,False,True,3,Commercial
45,2015-11-15,2015,CCAFS SLC 40,VLEO,2310.0,False ASDS,1,True,True,True,5,Other
46,2014-02-17,2014,CCAFS SLC 40,ISS,8819.0,True ASDS,0,False,False,False,2,NASA (CRS)
47,2015-03-02,2015,CCAFS SLC 40,GTO,7963.0,None None,0,False,False,True,1,Commercial
48,2014-12-03,2014,CCAFS SLC 40,ISS,755.0,True RTLS,0,True,False,False,5,Commercial
49,2014-01-26,2014,CCAFS SLC 40,VLEO,2906.0,True ASDS,0,False,False,True,1,Other
50,2015-10-19,2015,CCAFS SLC 40,VLEO,515.0,True ASDS,0,True,False,False,5,NASA (CRS)
51,2015-09-14,2015,CCAFS SLC 40,GTO,10858.0,True ASDS,1,False,False,False,4,NASA (CRS)
52,2015-01-08,2015,VAFB SLC 4E,GTO,12892.0,None None,1,False,True,False,5,NASA (CRS)
53,2016-04-22,2016,CCAFS SLC 40,GTO,13206.0,True RTLS,1,True,True,False,5,NASA (CRS)
54,2016-12-20,2016,KSC LC 39A,ISS,3285.0,True ASDS,1,True,True,True,4,NASA (CRS)
55,2015-09-10,2015,CCAFS SLC 40,VLEO,8219.0,True ASDS,1,False,True,True,5,Commercial
56,2015-06-29,2015,VAFB SLC 4E,VLEO,9689.0,True ASDS,1,True,False,True,3,Commercial
57,2016-07-25,2016,VAFB SLC 4E,GTO,6850.0,True Ocean,1,True,False,True,5,Commercial
58,2015-10-30,2015,CCAFS SLC 40,SSO,7981.0,True ASDS,1,True,True,True,2,Commercial
59,2016-05-06,2016,CCAFS SLC 40,SO,6023.0,None ASDS,1,True,True,True,4,NASA (CRS)
60,2016-02-25,2016,CCAFS SLC 40,GTO,4995.0,True ASDS,1,True,True,True,3,Commercial
61,2016-08-01,2016,CCAFS SLC 40,GTO,10340.0,True ASDS,1,True,False,True,4,Commercial
62,2016-01-14,2016,KSC LC 39A,ISS,7911.0,False ASDS,1,True,False,False,2,US Govt
63,2017-01-28,2017,VAFB SLC 4E,PO,6502.0,False ASDS,1,True,True,True,5,NASA (CRS)
64,2016-03-18,2016,CCAFS SLC 40,PO,8109.0,True ASDS,1,True,False,True,5,Commercial
65,2017-08-04,2017,KSC LC 39A,PO,9061.0,None None,1,True,False,False,5,Commercial
66,2017-12-31,2017,CCAFS SLC 40,SSO,6287.0,True RTLS,0,True,True,False,2,Other
67,2017-06-03,2017,KSC LC 39A,ISS,9810.0,False Ocean,1,True,False,True,4,US Govt
68,2017-01-14,2017,CCAFS SLC 40,ISS,6198.0,False RTLS,1,True,False,False,4,Commercial
69,2017-07-06,2017,VAFB SLC 4E,VLEO,6475.0,None None,0,True,True,False,3,Commercial
70,2018-11-08,2018,KSC LC 39A,GTO,7036.0,True RTLS,1,False,True,False,3,Other
71,2017-01-07,2017,CCAFS SLC 40,ISS,1183.0,True ASDS,1,True,True,True,4,NASA (CRS)
72,2018-01-03,2018,VAFB SLC 4E,MEO,7346.0,True ASDS,1,False,True,True,5,NASA (CRS)
73,2017-04-21,2017,KSC LC 39A,ISS,5610.0,None None,1,False,False,True,4,Commercial
74,2018-08-26,2018,KSC LC 39A,GTO,6602.0,False ASDS,1,True,False,True,4,NASA (CRS)
75,2018-12-29,2018,VAFB SLC 4E,LEO,9132.0,None ASDS,1,False,True,True,1,Other
76,2018-08-27,2018,CCAFS SLC 40,LEO,3190.0,False Ocean,1,False,True,True,1,US Govt
77,2018-10-01,2018,CCAFS SLC 40,GTO,12363.0,None None,1,True,True,False,1,Commercial
78,2018-10-21,2018,CCAFS SLC 40,ISS,7067.0,True ASDS,0,True,True,True,5,Commercial
79,2019-08-15,2019,CCAFS SLC 40,ISS,8026.0,True ASDS,1,False,False,False,1,Other
80,2018-01-15,2018,CCAFS SLC 40,GTO,14983.0,True ASDS,1,False,True,True,2,Other
81,2018-07-11,2018,CCAFS SLC 40,ISS,8468.0,True ASDS,1,True,True,True,3,Commercial
82,2018-04-29,2018,CCAFS SLC 40,SSO,7759.0,True Ocean,1,False,True,False,5,Other
83,2019-01-28,2019,VAFB SLC 4E,ISS,942.0,None None,1,False,False,True,5,Other
84,2019-07-21,2019,KSC LC 39A,HEO,745.0,True RTLS,1,False,True,True,5,US Govt
85,2019-02-08,2019,VAFB SLC 4E,SSO,6322.0,None None,1,False,False,False,4,NASA (CRS)
86,2019-09-30,2019,CCAFS SLC 40,GTO,6036.0,True ASDS,1,False,True,True,4,Commercial
87,2019-08-19,2019,KSC LC 39A,PO,2329.0,None None,1,True,False,True,1,Other
88,2019-03-27,2019,KSC LC 39A,GTO,8659.0,False ASDS,1,True,False,False,5,Commercial
89,2019-05-06,2019,CCAFS SLC 40,GTO,6753.0,True ASDS,1,True,True,True,5,Other
90,2020-10-26,2020,CCAFS SLC 40,GEO,5511.0,None None,1,False,True,False,4,NASA (CRS)
